Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Micro SD Memory Card Socket 9-Pin SMD ","Slot for MicroSD Card",,2.00,"https://www.amazon.in/Micro-SD-Memory-Card-Socket/dp/B08VJCGW7D","Amazon"
"6dBi 2.4GHz 5GHz Dual Band WiFi RP-SMA Antenna, 35 cm U.fl/IPEX Cable for Wireless Routers","Antenna",1,4.00,"https://www.amazon.in/BITSKY-INDIA-Antenna-Wireless-Routers/dp/B09D82M4PL","Amazon"
"M2 Pan Head Screw","Screwing",25,3.00,"https://www.amazon.in/Immech-Phillip-Thread-Machine-Quantity/dp/B08BXV36MY","Amazon"
"Brass Inserts","Screwing.",50,2.50,"https://robu.in/product/m2-x-4-mm-brass-insert?gad_source=1&gad_campaignid=20387462343&gbraid=0AAAAADvLFWfN4vLYZ50ZU5_xKw7qarNIx&gclid=CjwKCAjwwJzPBhBREiwAJfHRnduo5E9KdUQItvKQ5eC2ZmSrej2nXx4GW7IhHrmFBqIzkjMzGVqDpxoCsM8QAvD_BwE","Robu"
"Type C Female Reversible 16 pin.","User-friendly interface for modern electronics, enabling simultaneous fast charging, data transfer, and audio/video output in a compact, flippable design.",1,2.00,"https://www.amazon.in/TECHTONICS-Type-C-Female-Reversible-Connector/dp/B0CV46XBMW","Amazon"
"IP5306 Fully Integrated Power Bank Charger IC","Boosting the 5V",1,1.00,"","techiesms"
"Tact Switch-THBP07- 7.3X6mm (Right angled Tactile Switches)","L1, R1 keys",4,0.50,"","Robu"
"Tactile Switches","Switches for the handheld",15,4.00,"","Robu"
"K-Silver Hall Effect modules","K-Silver Hall Effect modules (specifically the JH16/JS16 series) are non-contact analog joystick modules.",2,12.00,"https://gadgetspune.com/products/k-silver-electromagnetic-hall-effect-anti-drift-joystick-replacement-for-xbox-oneps5ps4-2-pieces?srsltid=AfmBOoqZUmg0oUkRMMGedHaAKwb1sfsdj8RtN4-rYV1JQHupSXxPLgr5lm8","gadgetspune"
"2x 3000mAh Li-Po (1S2P)","Batteries",2,15.00,"","Amazon"
"Custom PCBs","Custom Design (JLCPCB Economic)",4,25.00,"https://jlcpcb.com/","JLCPCB"
"7"" 1024x600 IPS (HDMI)","The Main Screen",1,43.78,"https://robu.in/product/waveshare-7inch-ips-touch-integrated-display-1024-x-600-thin-and-light-design-with-development-accessories","Robu"
"Raspberry Pi CM5 4GB RAM Lite Storage Wireless","SBC(Brain)",1,73.70,"https://www.thingbits.in/products/raspberry-pi-compute-module-5/1190?src=raspberrypi","thingbits"
